,question_id,semantic_str,image_id,answer,op_select,op_query,op_filter,op_relate,op_verify,op_choose,op_exist,op_or,op_different,op_and,op_same,op_common,skipped,model_response,correct,timeout,runtime_sec,answer_similarity,answer_sanitized,is_antonym
1,201640614,"select: dress (12)->relate: person,wearing,s (7) [0]->query: name [1]",n235859,women,1,1,0,1,0,0,0,0,0,0,0,0,False,man,False,False,1.3621692657470703,0.35008004307746887,woman,True
4,201303229,select: chair (13)->filter vposition: bottom [0]->query: height [1],n518912,short,1,1,1,0,0,0,0,0,0,0,0,0,False,tall,False,False,0.3368368148803711,0.5797072649002075,short,True
5,201902997,"select: desk (1)->relate: device,on top of,s (8) [0]->query: name [1]",n435808,keyboard,1,1,0,1,0,0,0,0,0,0,0,0,False,keyboard,True,False,0.867483377456665,1.000000238418579,keyboard,False
6,20567512,"select: airplane (11)->relate: _,flying above,o (10) [0]->query: name [1]",n414992,ocean,1,1,0,1,0,0,0,0,0,0,0,0,False,moon,False,False,2.8893916606903076,0.38604217767715454,ocean,False
7,20136592,select: pants (3)->query: color [0],n446242,red,1,1,0,0,0,0,0,0,0,0,0,0,False,light_blue,False,False,0.3498530387878418,0.3616381585597992,red,False
8,20602803,select: ground (10)->choose color: brown|blue [0],n168412,brown,1,0,0,0,0,1,0,0,0,0,0,0,False,brown,True,False,0.3578615188598633,1.0000001192092896,brown,False
9,201079951,"select: window (0)->filter: open [0]->relate: _,around,s (12) [1]->query: name [2]",n23181,drapes,1,1,1,1,0,0,0,0,0,0,0,0,False,mirror,False,False,2.6112756729125977,0.23113605380058289,drape,False
10,201079952,"select: window (0)->relate: _,around,s (12) [0]->query: name [1]",n23181,drapes,1,1,0,1,0,0,0,0,0,0,0,0,False,mirror,False,False,2.5635147094726562,0.23113605380058289,drape,False
11,20982537,"select: table (9)->relate: person,standing at,s (6) [0]->query: name [1]",n52544,woman,1,1,0,1,0,0,0,0,0,0,0,0,False,man,False,False,0.7821981906890869,0.35008004307746887,woman,True
13,202218649,"select: chalkboard (0)->relate: _,hanging above,s (12) [0]->query: name [1]",n578564,picture,1,1,0,1,0,0,0,0,0,0,0,0,False,toaster_oven,False,False,2.5996084213256836,0.16411954164505005,picture,False
16,201902993,"select: mouse pad (6)->relate: device,sitting next to,s (8) [0]->query: name [1]",n435808,keyboard,1,1,0,1,0,0,0,0,0,0,0,0,False,keyboard,True,False,0.8784229755401611,1.000000238418579,keyboard,False
20,20151723,select: bag (2)->filter material: leather [0]->query: hposition [1],n313060,right,1,1,1,0,0,0,0,0,0,0,0,0,False,right,True,False,0.35248684883117676,1.0,right,False
22,201637161,select: cake (2)->query: color [0],n200692,white,1,1,0,0,0,0,0,0,0,0,0,0,False,orange,False,False,0.33228158950805664,0.5801511406898499,white,False
23,202218839,"select: hook (3)->relate: cooking utensil,hang from,s (2) [0]->query: name [1]",n578564,pan,1,1,0,1,0,0,0,0,0,0,0,0,False,cutting_board,False,False,0.7948791980743408,0.2792305648326874,pan,False
24,20982539,"select: person (6)->filter fatness: skinny [0]->relate: _,standing at,o (9) [1]->query: name [2]",n52544,table,1,1,1,1,0,0,0,0,0,0,0,0,False,sweater,False,False,4.143937826156616,0.2240612804889679,table,False
26,20866249,"select: wall (0)->relate: refrigerator,near,s (2) [0]->choose size: large|small [1]",n579256,large,1,0,0,1,0,1,0,0,0,0,0,0,False,small,False,False,0.7118752002716064,0.5980595946311951,large,True
27,201110525,"select: woman (7)->relate: baby,sitting atop,s (6) [0]->relate: food,to the left of,s (0) [1]->query: name [2]",n546616,marshmallow,1,1,0,2,0,0,0,0,0,0,0,0,False,cake,False,False,1.500077247619629,0.2830146551132202,marshmallow,False
28,20120533,select: fence (8)->choose material: aluminum|concrete [0],n117888,aluminum,1,0,0,0,0,1,0,0,0,0,0,0,False,aluminum,True,False,0.33121657371520996,1.0000001192092896,aluminum,False
29,201952977,select: houses (8)->filter color: white [0]->query: hposition [1],n525029,left,1,1,1,0,0,0,0,0,0,0,0,0,False,left,True,False,0.36377596855163574,0.9999998807907104,left,False
32,201455911,select: car (0)->choose color: white|orange [0],n413761,white,1,0,0,0,0,1,0,0,0,0,0,0,False,UNSAT,False,False,0.32175540924072266,0.0,white,False
33,20856965,select: book (2)->query: color [0],n293477,white,1,1,0,0,0,0,0,0,0,0,0,0,False,black,False,False,0.3641378879547119,0.7710274457931519,white,True
34,2059565,select: dirt (17)->query: color [0],n130638,red,1,1,0,0,0,0,0,0,0,0,0,0,False,teal,False,False,0.3665900230407715,0.4756549596786499,red,False
36,201079954,"select: drapes (12)->relate: _,around,o (0) [0]->query: name [1]",n23181,window,1,1,0,1,0,0,0,0,0,0,0,0,False,mirror,False,False,2.6699702739715576,0.3587580621242523,window,False
37,201548894,select: picture (1)->query: hposition [0],n314171,left,1,1,0,0,0,0,0,0,0,0,0,0,False,left,True,False,0.3247487545013428,0.9999998807907104,left,False
38,201573912,"select: stores (9)->relate: crosswalk,in front of,s (7) [0]->query: material [1]",n115614,concrete,1,1,0,1,0,0,0,0,0,0,0,0,False,aluminum,False,False,0.8479452133178711,0.5217465758323669,concrete,False
39,202243820,"select: cupcakes (3)->relate: sprinkles,sprinkled on,s (12) [0]->query: size [1]",n296467,small,1,1,0,1,0,0,0,0,0,0,0,0,False,small,True,False,0.9115347862243652,1.0,small,False
